362
4.4348764
122 359.205 3479.5 -7.956 122.271
98 280.445 3479.5 -70.919 43.693
74 201.685 3479.5 -13.298 -50.354
50 122.925 3479.5 58.803 -89.370
26 44.165 3479.5 34.297 138.498
3.529047
26 21.903 3479.5 13.504 129.721
4.4349303
122 359.209 3479.5 -7.963 122.306
98 280.450 3479.5 -73.347 44.971
74 201.692 3479.5 -13.592 -51.255
50 122.933 3479.5 60.046 -86.044
26 44.175 3479.5 34.948 136.533
3.529661
26 21.910 3479.5 13.801 128.810
4.435409
122 359.241 3479.5 -7.928 122.303
98 280.497 3479.5 -72.430 44.603
74 201.752 3479.5 -13.546 -50.895
50 123.008 3479.5 59.532 -87.238
26 44.263 3479.5 34.799 137.317
3.5350978
26 21.969 3479.5 13.753 129.173
4.4430323
122 360.186 3479.5 -7.028 122.591
98 281.669 3479.5 -71.668 48.000
74 203.152 3479.5 -14.810 -50.236
50 124.635 3479.5 57.939 -86.137
26 46.118 3479.5 36.373 138.619
3.6554308
26 23.343 3479.5 14.991 129.827
4.4321504
122 359.058 3479.5 -8.092 122.217
98 280.225 3479.5 -70.583 42.881
74 201.392 3479.5 -12.976 -50.322
50 122.559 3479.5 58.888 -90.289
26 43.725 3479.5 33.790 138.577
3.5027392
26 21.615 3479.5 13.186 129.756
4.435382
122 359.239 3479.5 -7.932 122.311
98 280.494 3479.5 -73.047 44.945
74 201.749 3479.5 -13.614 -51.128
50 123.003 3479.5 59.845 -86.381
26 44.258 3479.5 34.952 136.810
3.5347471
26 21.966 3479.5 13.821 128.938
4.432538
122 359.074 3479.5 -8.081 122.236
98 280.250 3479.5 -71.416 43.304
74 201.427 3479.5 -13.112 -50.613
50 122.603 3479.5 59.307 -89.142
26 43.779 3479.5 34.070 137.944
3.5058086
26 21.650 3479.5 13.323 129.461
4.4421988
122 359.952 3479.5 -7.249 122.518
98 281.398 3479.5 -71.617 47.088
74 202.845 3479.5 -14.504 -50.294
50 124.291 3479.5 58.164 -86.658
26 45.737 3479.5 35.990 138.531
3.6299424
26 23.041 3479.5 14.691 129.771
4.446
127 362.978 3479.5 37.359 74.618
