386
4.1666937
   33.47  2891.5   340.6     54.97     47.63
  117.99  2891.5   861.9     11.25    -48.93
2.2971282
   12.99  2891.5   270.5     46.55     77.50
  138.48  2891.5   923.6     -5.66    -60.55
4.2124176
   34.62  2891.5   342.1     43.03    -85.62
  118.16  2891.5   859.3     53.18    102.57
2.2113314
   12.40  2891.5   265.9     20.87    -83.62
  140.41  2891.5   924.6     31.02     99.92
4.227756
   35.08  2891.5   346.3    -44.16    126.41
  118.27  2891.5   862.0    -50.16    -78.64
2.1843274
   12.24  2891.5   267.8    -21.98    119.85
  141.12  2891.5   928.5    -28.08    -70.90
4.2456393
   35.32  2891.5   334.0    -29.94    154.24
  118.13  2891.5   848.0    -40.20    -98.46
2.147683
   11.86  2891.5   253.1    -12.93    136.76
  141.76  2891.5   916.0    -24.99    -76.82
4.255043
   35.67  2891.5   337.2     -0.94    -96.12
  118.28  2891.5   850.4     41.40   -175.41
2.125515
   11.74  2891.5   254.7    -16.64    -77.78
  142.35  2891.5   919.1     40.21    152.65
4.189123
   33.87  2891.5   333.2     42.99    -74.43
  117.92  2891.5   852.5     52.43     93.99
2.2575102
   12.64  2891.5   260.5     21.89    -77.18
  139.23  2891.5   916.0     31.28     97.59
4.239709
   35.25  2891.5   338.4     -6.39   -100.94
  118.18  2891.5   853.0     36.75   -177.15
2.1602244
   12.00  2891.5   258.4    -20.23    -81.67
  141.54  2891.5   920.5     38.55    153.31
4.1798453
   33.27  2891.5   316.7     -4.67    155.97
  117.52  2891.5   836.8     42.18     78.08
2.2878578
   12.65  2891.5   245.9    -18.47    171.66
  138.40  2891.5   899.5     42.90     49.63
4.272805
   36.46  2891.5   349.4    -44.22    123.39
  118.70  2891.5   861.1    -51.92    -77.13
2.0799882
   11.55  2891.5   263.5    -19.75    117.78
  143.64  2891.5   931.0    -27.53    -70.21
4.218312
   34.69  2891.5   338.1     -3.48    -98.74
  118.09  2891.5   854.7     39.21   -177.31
2.2037477
   12.30  2891.5   261.2    -17.53    -80.96
  140.56  2891.5   920.4     39.45    153.52
4.275607
   36.45  2891.5   345.4    -44.17    123.49
  118.64  2891.5   856.8    -51.99    -77.26
2.0762026
   11.48  2891.5   259.2    -19.65    117.83
  143.69  2891.5   927.0    -27.50    -70.23
4.124486
